gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
930945889	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:146970_28519_0	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus Smith, 1828		MX	Whale Shark Point		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	21.3708	-86.4598	100.0		0.0	0.0	0.5	0.5	2014-07-01T11:00Z	1	7	2014	2417522	2417522	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:146970_28519_0		Alexander Casassovici	2014-07-01T00:00:00	CC_BY_NC_4_0	Diveboard	Alexander Casassovici			2024-01-24T19:13:50.706Z		COORDINATE_REPROJECTION_SUSPICIOUS;TAXON_MATCH_TAXON_ID_IGNORED
923924551	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/759346	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX		Quintana Roo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.302681	-86.727791	1981.0						2012-08-31	31	8	2012	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	759346		John Hargreaves	2014-06-29T18:27:19	CC_BY_NC_4_0	John Hargreaves	John Hargreaves			2024-07-09T16:13:31.592Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
919317027	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:141534_28519_0	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus Smith, 1828		MX			PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	21.159	-86.8459	100.0		0.0	0.0	1.0	1.0	2012-07-28T11:00Z	28	7	2012	2417522	2417522	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:141534_28519_0		Jason Smith	2012-07-28T00:00:00	CC_BY_NC_4_0	Diveboard	Jason Smith			2024-01-24T19:13:49.856Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891774771	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/482595	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.766482	-87.379228	30357.0						2013-07-17T10:23:35	17	7	2013	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	482595		Andrea T. Valdés	2013-12-16T18:57:43	CC_BY_NC_4_0	Andrea T. Valdés	Andrea T. Valdés			2024-07-09T16:13:27.431Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891082807	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/83254	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.863173	-87.277767	30527.0						2012-04-05	5	4	2012	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	83254		Ben Booth	2012-05-26T15:57:08	CC_BY_4_0	Ben Booth	Ben Booth			2024-07-09T16:13:14.319Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
890045960	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:114043_28519_0	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus Smith, 1828		HN	Don Quickset		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	16.103	-86.9782	100.0		0.0	0.0	10.5	10.5	2010-07-01T11:45Z	1	7	2010	2417522	2417522	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:114043_28519_0		Lyndon Goveas	2010-07-01T00:00:00	CC_BY_NC_4_0	Diveboard	Lyndon Goveas			2024-01-24T19:14:01.529Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
890045879	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:114042_28519_0	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus Smith, 1828		HN	Rocky Point		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	16.0925	-86.8796	100.0		0.0	0.0	10.25	10.25	2010-06-30T11:45Z	30	6	2010	2417522	2417522	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:114042_28519_0		Lyndon Goveas	2010-06-30T00:00:00	CC_BY_NC_4_0	Diveboard	Lyndon Goveas			2024-01-24T19:13:56.281Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
857010832	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:55472_28519_0	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus Smith, 1828		BZ	Open Water		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	16.4779	-88.0183	100.0		0.0	0.0	13.26	13.26	2006-05-18T10:47Z	18	5	2006	2417522	2417522	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:55472_28519_0		Menudo Bandito	2006-05-18T00:00:00	CC_BY_NC_4_0	Diveboard	Menudo Bandito			2024-01-24T19:14:02.376Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
675438554	b6015b60-6f96-43a9-88e5-2f41854e8f07	urn:catalog:TCWC:Ichthyology:6895.01	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX	Gulf of Mexico; 130 mi S Port Isabel, Texas		PRESENT	1	2b8e48b0-812d-11de-86fe-b8a03c50a862	24.18	-97.22					28.5	28.5	1953-06-29	29	6	1953	2417522	2417522	PRESERVED_SPECIMEN	TCWC	Ichthyology	6895.01	Freeze, O.	J.P. Breuer/1953		CC0_1_0				native	2024-05-13T23:32:33.447Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_COORDINATE_MISMATCH;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
666685359	afc30a94-6107-488a-b9c0-ba9c4fa68b7c	1ab7c795-14f0-4d4f-b6e0-e39fac30c13e	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX	Acapulco	Guerrero	PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	16.837021	-99.892162							1937			1937	2417522	2417522	PRESERVED_SPECIMEN	FMNH	Fishes	40188				CC0_1_0	The Field Museum of Natural History	R. J. Sykes			2024-01-25T12:31:50.094Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
666650041	afc30a94-6107-488a-b9c0-ba9c4fa68b7c	1b8d53c5-c4d4-4f1b-b23e-d5caa608fc9c	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX	Acapulco		PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	16.837021	-99.892162							1936-12		12	1936	2417522	2417522	PRESERVED_SPECIMEN	FMNH	Fishes	35375				CC0_1_0	The Field Museum of Natural History	S. W. Stewart, R. J. Sykes			2024-01-25T12:31:50.020Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4903879499	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/225102786	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.216839	-86.180596	69282.0						2024-06-04T08:43:04	4	6	2024	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	225102786		Stephen Kent	2024-07-02T03:31:48	CC_BY_NC_4_0	ninjafish11	ninjafish11			2024-07-09T17:15:25.401Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901513074	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/222851848	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		CU		Cienfuegos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.065677	-80.548821	30318.0						2024-06-02	2	6	2024	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	222851848		leliebre23	2024-06-15T13:38:41	CC_BY_NC_4_0	leliebre23	leliebre23			2024-07-09T16:50:05.584Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901347339	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/225182692	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.541629	-86.753518	30377.0						2024-06-25T11:35	25	6	2024	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	225182692		Dallas Levey	2024-06-25T21:25:15	CC_BY_NC_4_0	Dallas Levey	Dallas Levey			2024-07-09T16:49:10.874Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4891872818	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/220716638	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX		Quintana Roo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.161908	-86.851528	12834.0						2016-01-01T02:35	1	1	2016	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	220716638		pranjal772	2024-06-05T17:23:43	CC_BY_NC_4_0	pranjal772	pranjal772			2024-07-09T16:47:45.939Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4867788174	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/216057224	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX		Oaxaca	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	16.151761	-95.21631	1061.0						2024-05-08T17:36:08	8	5	2024	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	216057224		David Gustavo R Bonastre	2024-05-16T05:53:17	CC_BY_NC_4_0	David Gustavo R Bonastre	David Gustavo R Bonastre			2024-07-09T17:14:49.342Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4863571111	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/215098392	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.351364	-86.763274	30396.0						2018-09-19T13:44	19	9	2018	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	215098392		Маргарита	2024-05-11T21:07:27	CC_BY_NC_4_0	Маргарита	Маргарита			2024-07-09T16:46:49.556Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4854968842	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/212913476	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.780909	-86.193737	30357.0						2016-07-23T11:50	23	7	2016	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	212913476		Julian Pietragalla	2024-05-02T16:02:06	CC_BY_4_0	Julian Pietragalla	Julian Pietragalla			2024-07-09T16:47:38.629Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4852946428	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/208511105	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		HN		Islas de la Bahía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	16.036215	-86.801024	30841.0						2017-01-26T12:50	26	1	2017	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	208511105		Rachel Munger	2024-04-21T16:23:42	CC_BY_NC_4_0	Rachel Munger	Rachel Munger			2024-07-09T17:13:53.623Z	StillImage	COORDINATE_ROUNDED;TAXON_MATCH_TAXON_ID_IGNORED
4604205303	dc8d6bf4-d6e1-4345-82bd-f7028eb144c3	b2c8e572-908c-4a2c-bd09-5a2984889c55	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus Smith, 1828	Smith, 1828	GT	Frente a barra de Tecojate	Escuintla	PRESENT		2538e1c8-ae3c-4812-b6aa-ca9aa53ba277	13.967113	-91.368836							2021-02-19	19	2	2021	2417522	2417522	HUMAN_OBSERVATION				WCS:TTPe_05:212	José Moreira		CC_BY_4_0	WCS-ICC				2024-04-10T22:49:21.979Z		TAXON_MATCH_TAXON_ID_IGNORED
4596838261	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/201523288	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX		Quintana Roo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.29839	-86.713125	4090.0						2011-07-05T09:24	5	7	2011	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	201523288		Clayton Bownds	2024-03-06T23:25:56	CC_BY_NC_4_0	Clayton Bownds	Clayton Bownds			2024-07-09T16:46:32.573Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4542616342	8e9974a4-12e2-475f-9aec-5abdf24a1f50	217eb2a1-b7c7-4f9d-954d-6c4e9e47e643	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus Smith, 1828		MX			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	21.31496	-86.42944							2022-07-03	3	7	2022	2417522	2417522	HUMAN_OBSERVATION					HOUDE Lionel (FFESSM)	2022-07-03T00:00:00	CC_BY_4_0		Anonymisé RGPD (FFESSM)			2024-03-20T14:27:55.975Z		FOOTPRINT_WKT_MISMATCH;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4522846487	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199202001	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.73662	-86.32429	30357.0						2019-07-17	17	7	2019	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	199202001		ralphaba	2024-02-13T16:19:17	CC_BY_NC_4_0	ralphaba	ralphaba			2024-07-09T16:46:14.377Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4522497578	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/140027958	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		HN		Islas de la Bahía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	16.012686	-86.995537	30841.0						2006-11-14T08:58:30	14	11	2006	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	140027958		capepolly	2022-10-26T03:22:20	CC_BY_NC_4_0	capepolly	capepolly			2024-07-09T16:36:59.769Z	StillImage	COORDINATE_ROUNDED;TAXON_MATCH_TAXON_ID_IGNORED
4516680428	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/197945626	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX		Quintana Roo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.658176	-87.214315	30357.0						2019-08-25	25	8	2019	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	197945626		José Alberto de la Luz G.	2024-01-30T03:48:30	CC_BY_NC_4_0	José Alberto de la Luz G.	José Alberto de la Luz G.			2024-07-09T16:46:40.667Z	StillImage	COORDINATE_ROUNDED;TAXON_MATCH_TAXON_ID_IGNORED
4506291923	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/194519720	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.314455	-86.642881	30396.0						2017-07-29T10:41	29	7	2017	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	194519720		tree__fr0g	2023-12-21T18:39:43	CC_BY_NC_4_0	Melissa	Melissa			2024-07-09T17:12:12.480Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4506217530	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/94601070	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.662945	-87.378554	30357.0						2006-08-29T16:18Z	29	8	2006	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	94601070		Carsten Meyer	2021-09-12T17:38:35	CC_BY_4_0	Carsten Meyer	Carsten Meyer			2024-07-09T16:31:17.675Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4465533234	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/193760545	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.667862	-86.307463	138096.0						2023-07-17T10:29	17	7	2023	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	193760545		sashal03	2023-12-12T02:32:54	CC_BY_NC_4_0	sashal03	sashal03			2024-07-09T17:12:07.732Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4465531165	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/193760636	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.043523	-86.006512	89454.0						2023-07-17T11:33	17	7	2023	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	193760636		sashal03	2023-12-12T02:34:49	CC_BY_NC_4_0	sashal03	sashal03			2024-07-09T17:12:27.773Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4458318665	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/131809020	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.324813	-86.643719	30396.0						2022-08-21T17:32:07	21	8	2022	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	131809020		Marco Ferreira	2022-08-21T22:33:55	CC_BY_NC_4_0	Marco Ferreira	Marco Ferreira			2024-07-09T16:36:51.911Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4430670345	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/187934437	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX		Quintana Roo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.236695	-86.735768	3479.0						2012-08-17T14:15	17	8	2012	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	187934437		Katherine C. MacKinnon	2023-10-17T19:15:11	CC_BY_NC_4_0	Katherine C. MacKinnon	Katherine C. MacKinnon			2024-07-09T17:12:09.084Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4424612393	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/186962586	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.466593	-86.777198	30377.0						2023-09-12T10:56:28	12	9	2023	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	186962586		Luis Trinchan	2023-10-10T07:04:34	CC_BY_NC_4_0	Fernando Cortez	Fernando Cortez			2024-07-09T17:10:06.828Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4424280973	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/186963472	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.482583	-86.536731	30377.0						2023-08-06T09:05:25	6	8	2023	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	186963472		Kathryn Flowers	2023-10-10T11:19:38	CC_BY_NC_4_0	Fernando Cortez	Fernando Cortez			2024-07-09T16:45:16.626Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4414292826	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/183690694	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.742858	-86.493153	62500.0						2023-06-28T09:34	28	6	2023	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	183690694		feduchy	2023-09-17T16:36:08	CC_BY_NC_4_0	feduchy	feduchy			2024-07-09T16:44:03.907Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4413451102	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/182405573	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus		SPECIES	Rhincodon typus Smith, 1828	Rhincodon typus		MX			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.628489	-86.412127	30357.0						2023-09-08T13:40	8	9	2023	2417522	2417522	HUMAN_OBSERVATION	iNaturalist	Observations	182405573		Rafael de la Parra	2023-09-09T01:47:21	CC_BY_NC_4_0	Rafael de la Parra	Rafael de la Parra			2024-07-09T17:10:54.471Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
